Assembly Accession	Organism Name	Organism Taxonomic ID	Organism Infraspecific Names Isolate	Organism Infraspecific Names Strain	Assembly Release Date	Assembly BioSample Accession	Assembly BioSample Isolate	Assembly BioSample Strain	Assembly BioSample Isolation source	Assembly BioSample Geographic location	Assembly BioSample Latitude and Longitude	Assembly BioSample Collection date	Assembly BioSample Host	Assembly BioSample Host disease	Assembly BioSample Ecotype	Assembly Atypical Is Atypical	Assembly Atypical Warnings	Assembly Type
GCA_000006805.1	Halobacterium salinarum NRC-1	64091		NRC-1; ATCC 700922	2001-01-09	SAMN02604216		NRC-1; ATCC 700922										haploid
GCA_000007005.1	Saccharolobus solfataricus P2	273057		P2	2002-11-25	SAMN02603227		P2										haploid
GCA_000007065.1	Methanosarcina mazei Go1	192952		Go1	2002-05-20	SAMN02603290		Go1										haploid
GCA_000007185.1	Methanopyrus kandleri AV19	190192		AV19	2002-04-03	SAMN02603235		AV19										haploid
GCA_000007225.1	Pyrobaculum aerophilum str. IM2	178306		IM2	2002-01-24	SAMN02604075		IM2										haploid
GCA_000007305.1	Pyrococcus furiosus DSM 3638	186497		DSM 3638	2002-02-27	SAMN02604284		DSM 3638										haploid
GCA_000007345.1	Methanosarcina acetivorans C2A	188937		C2A	2002-04-03	SAMN03081414		C2A										haploid
GCA_000008085.1	Nanoarchaeum equitans Kin4-M	228908		Kin4-M	2003-12-18	SAMN02603208		Kin4-M										haploid
GCA_000008265.1	Picrophilus oshimae DSM 9789	1122961		DSM 9790	2004-06-08	SAMN02603345		DSM 9790										haploid
GCA_000008645.1	Methanothermobacter thermautotrophicus str. Delta H	187420		Delta H	1999-12-22	SAMN02603244		Delta H										haploid
GCA_000008665.1	Archaeoglobus fulgidus DSM 4304	224325		DSM 4304	1999-12-22	SAMN02603985		DSM 4304										haploid
GCA_000009185.1	Haloquadratum walsbyi DSM 16790	362976		DSM 16790 = HBSQ001	2006-06-22	SAMEA3138195		DSM 16790 = HBSQ001										haploid
GCA_000009965.1	Thermococcus kodakarensis KOD1	69014		KOD1	2005-01-05	SAMD00061071		KOD1										haploid
GCA_000011005.1	Methanocella paludicola SANAE	304371		SANAE	2009-12-25	SAMD00060931		SANAE										haploid
GCA_000011085.1	Haloarcula marismortui ATCC 43049	272569		ATCC 43049	2004-11-02	SAMN02603385		ATCC 43049										haploid
GCA_000011105.1	Pyrococcus horikoshii OT3	70601		OT3	2004-05-11	SAMD00061090		OT3										haploid
GCA_000011125.1	Aeropyrum pernix K1	272557		K1	2006-10-11	SAMD00061092		K1										haploid
GCA_000011185.1	Thermoplasma volcanium GSS1	273116		GSS1	2004-05-11	SAMD00061089		GSS1										haploid
GCA_000011205.1	Sulfurisphaera tokodaii str. 7	273063		7	2004-05-11	SAMD00061096		7										haploid
GCA_000011585.1	Methanococcus maripaludis S2	267377		S2	2004-03-04	SAMEA3138215		S2										haploid
GCA_000012285.1	Sulfolobus acidocaldarius DSM 639	330779		DSM 639	2005-07-05	SAMN02603173		DSM 639										haploid
GCA_000012545.1	Methanosphaera stadtmanae DSM 3091	339860		DSM 3091	2006-01-05	SAMN02604180		DSM 3091										haploid
GCA_000013445.1	Methanospirillum hungatei JF-1	323259		JF-1	2006-02-17	SAMN02598287		JF-1										haploid
GCA_000013725.1	Methanococcoides burtonii DSM 6242	259564		DSM 6242	2006-04-10	SAMN02598545		DSM 6242										haploid
GCA_000014945.1	Methanothrix thermoacetophila PT	349307		PT	2006-10-25	SAMN02598350		PT										haploid
GCA_000015145.1	Hyperthermus butylicus DSM 5456	415426		DSM 5456	2007-01-22	SAMN02604082		DSM 5456										haploid
GCA_000015205.1	Pyrobaculum islandicum DSM 4184	384616		DSM 4184	2006-12-20	SAMN02598374		DSM 4184										haploid
GCA_000015225.1	Thermofilum pendens Hrk 5	368408		Hrk 5	2006-12-18	SAMN02598366		Hrk 5										haploid
GCA_000015765.1	Methanocorpusculum labreanum Z	410358		Z	2007-02-01	SAMN00623052												haploid
GCA_000015805.1	Pyrobaculum calidifontis JCM 11548	410359		JCM 11548	2007-02-27	SAMN00623060												haploid
GCA_000015825.1	Methanoculleus marisnigri JR1	368407		JR1	2007-02-16	SAMN02598365		JR1										haploid
GCA_000015945.1	Staphylothermus marinus F1	399550		F1	2007-02-21	SAMN02598390		F1										haploid
GCA_000016125.1	Methanococcus maripaludis C5	402880		C5	2007-03-15	SAMN02598397		C5										haploid
GCA_000016385.1	Pyrobaculum arsenaticum DSM 13514	340102		DSM 13514	2007-04-16	SAMN02598330		DSM 13514										haploid
GCA_000016525.1	Methanobrevibacter smithii ATCC 35061	420247		ATCC 35061; PS; DSMZ 861	2007-06-04	SAMN02604313		ATCC 35061; PS; DSMZ 861										haploid
GCA_000016605.1	Metallosphaera sedula DSM 5348	399549		DSM 5348	2007-04-25	SAMN02598389		DSM 5348										haploid
GCA_000017165.1	Methanococcus vannielii SB	406327		SB	2007-06-29	SAMN02598403		SB										haploid
GCA_000017185.1	Methanococcus aeolicus Nankai-3	419665		Nankai-3	2007-06-29	SAMN00623051												haploid
GCA_000017625.1	Methanoregula boonei 6A8	456442		6A8	2007-07-26	SAMN02598409		6A8										haploid
GCA_000017945.1	Ignicoccus hospitalis KIN4/I	453591		KIN4/I	2007-08-29	SAMN02598324		KIN4/I										haploid
GCA_000018305.1	Caldivirga maquilingensis IC-167	397948		IC-167	2007-10-05	SAMN00623034												haploid
GCA_000018365.1	Thermococcus onnurineus NA1	523850		NA1	2008-11-06	SAMN02603476		NA1	deep-sea hydrothermal vent area at PACMANUS field									haploid
GCA_000018465.1	Nitrosopumilus maritimus SCM1	436308		SCM1	2007-11-15	SAMN00000032		SCM1										haploid
GCA_000019605.1	Candidatus Korarchaeum cryptofilum OPF8	374847	OPF8		2008-03-18	SAMN02598368	OPF8											haploid
GCA_000019805.1	Pyrobaculum neutrophilum V24Sta	444157		V24Sta	2008-03-27	SAMN02598332		V24Sta										haploid
GCA_000020905.1	Desulfurococcus amylolyticus 1221n	490899		1221n	2008-12-24	SAMN02603098		1221n										haploid
GCA_000021965.1	Methanosphaerula palustris E1-9c	521011		E1-9c	2009-01-05	SAMN00001866		E1-9c										haploid
GCA_000022205.1	Halorubrum lacusprofundi ATCC 49239	416348		ATCC 49239	2009-02-04	SAMN02598407		ATCC 49239										haploid
GCA_000022365.1	Thermococcus gammatolerans EJ3	593117		EJ3; DSM 15229	2009-06-12	SAMN02603333		EJ3; DSM 15229										haploid
GCA_000022385.1	Saccharolobus islandicus L.S.2.15	429572		L.S.2.15	2009-04-24	SAMN02598420		L.S.2.15										haploid
GCA_000022405.1	Saccharolobus islandicus M.14.25	427317		M.14.25	2009-04-24	SAMN02598416		M.14.25										haploid
GCA_000022425.1	Saccharolobus islandicus M.16.27	427318		M.16.27	2009-04-29	SAMN02598417		M.16.27										haploid
GCA_000022445.1	Saccharolobus islandicus M.16.4	426118		M.16.4	2009-05-27	SAMN02598414		M.16.4										haploid
GCA_000022465.1	Saccharolobus islandicus Y.G.57.14	439386		Y.G.57.14	2009-04-29	SAMN02598422		Y.G.57.14										haploid
GCA_000022485.1	Saccharolobus islandicus Y.N.15.51	419942		Y.N.15.51	2009-04-29	SAMN02598411		Y.N.15.51										haploid
GCA_000022545.1	Thermococcus sibiricus MM 739	604354		MM 739	2009-06-29	SAMN02603090		MM 739	high-temperature Samotlor oil reservoir	Russia: western Siberia								haploid
GCA_000023945.1	Halorhabdus utahensis DSM 12940	519442		DSM 12940	2009-08-27	SAMN00002611		DSM 12940										haploid
GCA_000023965.1	Halomicrobium mukohataei DSM 12286	485914		DSM 12286	2009-09-03	SAMN00002610		DSM 12286										haploid
GCA_000023985.1	Methanocaldococcus fervens AG86	573064		AG86	2009-08-28	SAMN02598490		AG86										haploid
GCA_000024185.1	Methanobrevibacter ruminantium M1	634498		M1	2010-02-05	SAMN02603710		M1										haploid
GCA_000024305.1	Saccharolobus islandicus L.D.8.5	425944		L.D.8.5	2010-01-22	SAMN02598413		L.D.8.5		USA	40.49703 N 121.42752 W							haploid
GCA_000024625.1	Methanocaldococcus vulcanius M7	579137		M7	2009-10-15	SAMN02598493		M7										haploid
GCA_000025285.1	Archaeoglobus profundus DSM 5631	572546		DSM 5631	2010-01-19	SAMN00017459		DSM 5631										haploid
GCA_000025325.1	Haloterrigena turkmenica DSM 5511	543526		DSM 5511	2010-01-19	SAMN02598471		DSM 5511										haploid
GCA_000025505.1	Ferroglobus placidus DSM 10642	589924		DSM 10642	2010-02-16	SAMN02598503		DSM 10642	Derek Lovley (dlovley@microbio.umass.edu)	Italy								haploid
GCA_000025525.1	Methanocaldococcus sp. FS406-22	644281		FS406-22	2010-02-17	SAMN02598520		FS406-22			23.366667 N 44.933333 W							haploid
GCA_000025625.1	Natrialba magadii ATCC 43099	547559		ATCC 43099	2010-02-24	SAMN02598473		ATCC 43099	ATCC 43099		-189,635 36,273,931							haploid
GCA_000025685.1	Haloferax volcanii DS2	309800		DS2	2010-03-23	SAMN02604027		DS2										haploid
GCA_000025865.1	Methanohalophilus mahii DSM 5219	547558		DSM 5219	2010-03-31	SAMN02598474		DSM 5219		USA	41.177 N 112.502 W							haploid
GCA_000026045.1	Natronomonas pharaonis DSM 2160	348780		Gabara	2005-09-28	SAMEA3138222		Gabara										haploid
GCA_000063445.1	Methanocella arvoryzae MRE50	351160		MRE50	2006-10-12	SAMEA3138262		MRE50										haploid
GCA_000069025.1	Halobacterium salinarum R1	478009		DSM 671 = R1	2008-02-12	SAMEA3138275		DSM 671 = R1										haploid
GCA_000091665.1	Methanocaldococcus jannaschii DSM 2661	243232		DSM 2661	1999-12-22	SAMN02603984		DSM 2661										haploid
GCA_000092185.1	Thermosphaera aggregans DSM 11486	633148		DSM 11486	2010-05-17	SAMN02598509		DSM 11486		USA	44.806 N 110.448 W							haploid
GCA_000092305.1	Methanocaldococcus infernus ME	573063		ME	2010-04-30	SAMN00017484		ME										haploid
GCA_000092465.1	Staphylothermus hellenicus DSM 12710	591019		DSM 12710	2010-06-01	SAMN00002730		DSM 12710										haploid
GCA_000144915.1	Acidilobus saccharovorans 345-15	666510		345-15	2010-08-06	SAMN02603091		345-15	solfataric field of Uzon caldera	Russia: Kamchatka								haploid
GCA_000145295.1	Methanothermobacter marburgensis str. Marburg	79929		Marburg	2010-08-11	SAMN02603260		Marburg										haploid
GCA_000145985.1	Ignisphaera aggregans DSM 17230	583356		DSM 17230	2010-08-24	SAMN00016987		DSM 17230		New Zealand	Missing	Missing						haploid
GCA_000147875.1	Methanolacinia petrolearia DSM 11571	679926		DSM 11571	2010-09-17	SAMN00017400		DSM 11571	off shore oil field from Gulf of Guinea	Missing	Missing	Missing						haploid
GCA_000148385.1	Vulcanisaeta distributa DSM 14429	572478		DSM 14429	2010-09-22	SAMN00017002		DSM 14429	hot spring	Japan	Missing	Sep-1993						haploid
GCA_000151105.2	Thermococcus barophilus MP	391623		MP	2010-12-17	SAMN02603625		MP										haploid
GCA_000151205.2	Thermococcus sp. AM4	246969		AM4	2011-09-08	SAMN02603626		AM4	2600 m depth	Pacific Ocean: East Pacific Rise (13degN)								haploid
GCA_000151225.1	Methanobrevibacter smithii DSM 2374	521002		DSM 2374	2009-10-06	SAMN00008834		DSM 2374	missing	not determined	not determined	not determined	Homo sapiens					haploid
GCA_000151245.1	Methanobrevibacter smithii DSM 2375	483214		DSM 2375	2008-11-13	SAMN00008835		DSM 2375	missing	not determined	not determined	not determined	Homo sapiens					haploid
GCA_000152265.2	Ferroplasma acidarmanus Fer1	333146		Fer1	2013-06-26	SAMN02604346		Fer1	isolated from slime streamers and attached to pyrite surfaces at a sulfide ore body	USA: Iron Mountain, CA	40.40 N 122.31 W	2009-01						haploid
GCA_000166095.1	Methanothermus fervidus DSM 2088	523846		DSM 2088	2010-11-05	SAMN02232040		DSM 2088	hot solfataric spring	Iceland	Missing	Missing						haploid
GCA_000172995.2	Halogeometricum borinquense DSM 11551	469382		PR 3	2010-11-22	SAMN00002580		DSM 11551										haploid
GCA_000175555.1	Saccharolobus solfataricus 98/2	555311		98/2	2009-07-20	SAMN00001854		98/2										haploid
GCA_000179575.2	Methanothermococcus okinawensis IH1	647113		IH1	2011-06-06	SAMN00100784		IH1	deep-sea hydrothermal vent chimney at the Iheya Ridge in the Okinawa Trough	Japan	Missing	Missing						haploid
GCA_000186365.1	Desulfurococcus mucosus DSM 2162	765177		DSM 2162	2011-01-20	SAMN00103627		DSM 2162	hot solfataric spring	Iceland	Missing	Missing						haploid
GCA_000187225.2	Haladaptatus paucihalophilus DX253	797209		DX253	2011-01-31	SAMN02470763		DX253	low-salt sulfur and sulfide-rich spring	USA: southwestern Oklahoma								haploid
GCA_000189555.1	Saccharolobus islandicus REY15A	930945		REY15A	2011-02-16	SAMN02603882		REY15A										haploid
GCA_000189575.1	Saccharolobus islandicus HVE10/4	930943		HVE10/4	2011-02-16	SAMN02602983		HVE10/4										haploid
GCA_000189795.2	Methanobrevibacter smithii TS145A	911116		TS145A	2011-02-17	SAMN02436678		TS145A										haploid
GCA_000189815.2	Methanobrevibacter smithii TS145B	911117		TS145B	2011-02-17	SAMN02436664		TS145B										haploid
GCA_000189835.2	Methanobrevibacter smithii TS146A	911118		TS146A	2011-02-17	SAMN02436679		TS146A										haploid
GCA_000189855.2	Methanobrevibacter smithii TS146B	911119		TS146B	2011-02-17	SAMN02436665		TS146B										haploid
GCA_000189875.2	Methanobrevibacter smithii TS146C	911120		TS146C	2011-02-17	SAMN02436682		TS146C										haploid
GCA_000189895.2	Methanobrevibacter smithii TS146D	911121		TS146D	2011-02-17	SAMN02436666		TS146D										haploid
GCA_000189915.2	Methanobrevibacter smithii TS146E	911122		TS146E	2011-02-17	SAMN02436683		TS146E										haploid
GCA_000189935.2	Methanobrevibacter smithii TS147A	911123		TS147A	2011-02-17	SAMN02436667		TS147A										haploid
GCA_000189955.2	Methanobrevibacter smithii TS147B	911124		TS147B	2011-02-17	SAMN02436668		TS147B										haploid
GCA_000189975.2	Methanobrevibacter smithii TS147C	911125		TS147C	2011-02-17	SAMN02436673		TS147C										haploid
GCA_000189995.2	Methanobrevibacter smithii TS94A	911126		TS94A	2011-02-17	SAMN02436680		TS94A										haploid
GCA_000190015.2	Methanobrevibacter smithii TS94B	911127		TS94B	2011-02-17	SAMN02436674		TS94B										haploid
GCA_000190035.2	Methanobrevibacter smithii TS94C	911128		TS94C	2011-02-17	SAMN02436675		TS94C										haploid
GCA_000190055.2	Methanobrevibacter smithii TS95A	911129		TS95A	2011-02-17	SAMN02436676		TS95A										haploid
GCA_000190075.2	Methanobrevibacter smithii TS95B	911130		TS95B	2011-02-17	SAMN02436677		TS95B										haploid
GCA_000190095.2	Methanobrevibacter smithii TS95C	911131		TS95C	2011-02-17	SAMN02436669		TS95C										haploid
GCA_000190115.2	Methanobrevibacter smithii TS95D	911132		TS95D	2011-02-17	SAMN02436670		TS95D										haploid
GCA_000190135.2	Methanobrevibacter smithii TS96A	911133		TS96A	2011-02-17	SAMN02436671		TS96A										haploid
GCA_000190155.2	Methanobrevibacter smithii TS96B	911134		TS96B	2011-02-17	SAMN02436681		TS96B										haploid
GCA_000190175.2	Methanobrevibacter smithii TS96C	911135		TS96C	2011-02-17	SAMN02436672		TS96C										haploid
GCA_000190315.1	Vulcanisaeta moutnovskia 768-28	985053		768-28	2011-02-22	SAMN02603092		768-28	solfataric thermal field close to Moutnovsky volcano, Kamchatka	Russia								haploid
GCA_000191585.1	Methanobacterium lacus	877455		AL-21	2011-03-07	SAMN02232037		AL-21		Missing	Missing	Missing						haploid
GCA_000193375.1	Thermoproteus uzoniensis 768-20	999630		768-20	2011-03-28	SAMN02603093		768-20	solfataric thermal field close to Moutnovsky volcano	Russia: Kamchatka								haploid
GCA_000194625.1	Archaeoglobus veneficus SNP6	693661		SNP6	2011-03-31	SAMN00713598		SNP6	Black smoker wall, 3500 m depth	Missing	Missing	Missing						haploid
GCA_000195915.1	Thermoplasma acidophilum DSM 1728	273075		DSM1728	2003-05-06	SAMEA3138325		DSM 1728										haploid
GCA_000195935.2	Pyrococcus abyssi GE5	272844		Orsay	2003-05-06	SAMEA3283067		Orsay										haploid
GCA_000196655.1	Methanohalobium evestigatum Z-7303	644295		Z-7303	2010-06-15	SAMN00015125		Z-7303										haploid
GCA_000196895.1	Halalkalicoccus jeotgali B3	795797		B3	2010-06-23	SAMN02603490		B3										haploid
GCA_000200715.1	Cenarchaeum symbiosum A	414004			2006-11-20	SAMN02744041		A	10-20 meters below sea level off the coast of Santa Barbara, CA, USA	USA:Santa Barbara	not collected	not collected	Axinella mexicana (marine sponge)					haploid
GCA_000204415.1	Methanothrix soehngenii GP6	990316		GP6	2011-04-15	SAMN02604263		GP6										haploid
GCA_000204585.1	Candidatus Nitrosarchaeum limnium SFB1	886738		SFB1	2011-04-20	SAMN02471010		SFB1										haploid
GCA_000204925.1	Metallosphaera cuprina Ar-4	1006006		Ar-4	2011-04-19	SAMN02603221		Ar-4	sulfuric hot spring	China: Yunnan province								haploid
GCA_000211475.1	Pyrococcus sp. NA2	342949		NA2	2011-04-29	SAMN02603477		NA2	hydrothermal vent area; 1650 m depth	Pacific Ocean: Papua New Guinea-Australia-Canada-Manus (PACMANUS) field								haploid
GCA_000213215.1	Acidianus hospitalis W1	933801		W1	2011-05-12	SAMN02602984		W1										haploid
GCA_000214415.1	Methanotorris igneus Kol 5	880724		Kol 5	2011-05-23	SAMN00713627		Kol 5	shallow subarine vent system at the Kolbeinskey Ridge	Iceland	66.780217 N 18.480835 W	Missing						haploid
GCA_000214725.1	Methanobacterium paludis	868131		SWAN1	2011-05-24	SAMN00713630		SWAN1		Missing	Missing	Missing						haploid
GCA_000215915.3	Halorhabdus tiamatea SARL4B	1033806		SARL4B	2013-09-12	SAMN02472187		SARL4B	sediment-brine interface of the Shaban Deep in the Red Sea	Saudi Arabia: Thuwal								haploid
GCA_000215995.1	Pyrococcus yayanosii CH1	529709		CH1	2011-06-07	SAMN02603867		CH1										haploid
GCA_000217715.1	Halopiger xanaduensis SH-6	797210		SH-6	2011-06-09	SAMN02232028		SH-6	sediment of Lake Shangmatala	China	43.2 N 114.016 E	Missing						haploid
GCA_000217995.1	Methanosalsum zhilinae DSM 4017	679901		DSM 4017	2011-06-13	SAMN02232039		DSM 4017	sediment of alkaline lake	Egypt	30.437189 N 30.334396 E	Missing						haploid
GCA_000220175.2	Nitrosarchaeum koreense MY1	1001994		MY1	2011-07-07	SAMN02470178		MY1	enrichment culture from soil									haploid
GCA_000220355.1	Candidatus Nanosalinarum sp. J07AB56	889962			2011-07-11	SAMN01940911			Lake Tyrrell	Australia: Victoria	35.309 S 142.7795 E	2007-01-25						haploid
GCA_000220375.1	Candidatus Nanosalina sp. J07AB43	889948			2011-07-11	SAMN01940911			Lake Tyrrell	Australia: Victoria	35.309 S 142.7795 E	2007-01-25						haploid
GCA_000220645.1	Methanococcus maripaludis X1	1053692		X1	2011-07-14	SAMN02603718		X1										haploid
GCA_000221185.1	Thermococcus sp. 4557	1042877		4557	2011-07-22	SAMN02603471		4557										haploid
GCA_000223395.1	Pyrolobus fumarii 1A	694429		1A	2011-08-12	SAMN02232047		1A		Missing	Missing	Missing						haploid
GCA_000223905.1	Haloarcula hispanica ATCC 33960	634497		CGMCC 1.2049	2011-08-17	SAMN02602960		CGMCC 1.2049										haploid
GCA_000224475.1	halophilic archaeon DL31	756883		DL31	2011-08-26	SAMN02232027		DL31		Missing	Missing	Missing				true	contaminated	haploid
GCA_000226975.3	Natronobacterium lacisalsi AJ5	358396		AJ5	2017-01-23	SAMN02470038		AJ5	Ayakekumsalt Lake	China: Xinjian								haploid
GCA_000230485.1	uncultured marine crenarchaeote 'Gulf of Maine'	1089683			2011-10-17	SAMN02954312			Gulf of Maine surface waters	missing	missing	2006						haploid
GCA_000230715.3	Natronobacterium gregoryi SP2	797304		SP2	2012-12-10	SAMN02232042		SP2	lake water	Kenya	1.9446 S 36.2522 E	Missing						haploid
GCA_000230735.3	Natrinema pellirubrum DSM 15624	797303		DSM 15624	2012-12-27	SAMN02261373		DSM 15624	Red heat in salted hides (spoiled fish)	Italy	40.853 N 14.153 E	1962	fish					haploid
GCA_000230955.3	Halobacterium sp. DL1	751944		DL1	2014-01-13	SAMN02261380		DL1		Missing	Missing	Missing				true	contaminated	haploid
GCA_000231015.3	Desulfurococcus amylolyticus DSM 16532	768672		DSM 16532	2012-06-07	SAMN02232017		DSM 16532	freshwater hot spring	Russia	54.520524 N 159.968948 E	Missing						haploid
GCA_000234805.1	Pyrobaculum ferrireducens	1104324		1860	2011-11-10	SAMN02603094		1860	Lake Fumarolic in the Uzon Caldera	Russia: Kamchatka								haploid
GCA_000235565.1	Methanothrix harundinacea 6Ac	1110509		6Ac	2011-11-16	SAMN02603883		6Ac										haploid
GCA_000236195.2	Candidatus Haloredivivus sp. G17	1072681		G17	2011-11-25	SAMN02469764		G17										haploid
GCA_000237865.1	Haloquadratum walsbyi C23	768065		DSM 16854 = C23	2011-05-31	SAMEA2272799		DSM 16854 = C23										haploid
GCA_000241145.2	Candidatus Nitrosarchaeum limnium BG20	859192		BG20	2012-01-04	SAMN00016663		BG20										haploid
GCA_000242875.3	Candidatus Nitrosopumilus salarius BD31	859350		BD31	2012-05-09	SAMN00016669												haploid
GCA_000243255.1	Methanoplanus limicola DSM 2279	937775		DSM 2279	2012-01-24	SAMN02261391		DSM 2279	Mud of drilling swamp from Italy	Italy	Missing	Missing						haploid
GCA_000243315.1	Metallosphaera yellowstonensis MK1	671065		MK1	2012-01-23	SAMN02261413		MK1	freshwater hot spring, Yellowstone National Park, USA	USA	44.76 N 110.74 W	Missing						haploid
GCA_000243455.2	Methanotorris formicicus Mc-S-70	647171		Mc-S-70	2012-01-23	SAMN02261372		Mc-S-70	Black smoker chimney at the Kairei field in the Central Indian Ridge, Indian Ocean	Indian Ocean	Missing	2002-03						haploid
GCA_000245095.2	Saccharolobus islandicus M.16.2	1132497		M.16.2	2012-01-25	SAMN02471813		M.16.2	Hot spring in Mutnovsky Volcano	Russia: Kamchatka		2000						haploid
GCA_000245115.2	Saccharolobus islandicus M.16.12	1132498		M.16.12	2012-01-25	SAMN02471807		M.16.12	Hot spring in Mutnovsky Volcano	Russia: Kamchatka		2000						haploid
GCA_000245135.2	Saccharolobus islandicus M.16.13	1132499		M.16.13	2012-01-25	SAMN02471814		M.16.13	Hot spring in Mutnovsky Volcano	Russia: Kamchatka		2000						haploid
GCA_000245155.2	Saccharolobus islandicus M.16.22	1132500		M.16.22	2012-01-25	SAMN02471818		M.16.22	Hot spring in Mutnovsky Volcano	Russia: Kamchatka		2000						haploid
GCA_000245175.2	Saccharolobus islandicus M.16.23	1132501		M.16.23	2012-01-25	SAMN02471819		M.16.23	Hot spring in Mutnovsky Volcano	Russia: Kamchatka		2000						haploid
GCA_000245195.2	Saccharolobus islandicus M.16.30	1132502		M.16.30	2012-01-25	SAMN02471824		M.16.30	Hot spring in Mutnovsky Volcano	Russia: Kamchatka		2000						haploid
GCA_000245215.2	Saccharolobus islandicus M.16.40	1132503		M.16.40	2012-01-25	SAMN02471808		M.16.40	Hot spring in Mutnovsky Volcano	Russia: Kamchatka		2000						haploid
GCA_000245235.2	Saccharolobus islandicus M.16.43	1132504		M.16.43	2012-01-25	SAMN02471809		M.16.43	Hot spring in Mutnovsky Volcano	Russia: Kamchatka		2000						haploid
GCA_000245255.2	Saccharolobus islandicus M.16.46	1132505		M.16.46	2012-01-25	SAMN02471810		M.16.46	Hot spring in Mutnovsky Volcano	Russia: Kamchatka		2000						haploid
GCA_000245275.2	Saccharolobus islandicus M.16.47	1132506		M.16.47	2012-01-25	SAMN02471811		M.16.47	Hot spring in Mutnovsky Volcano	Russia: Kamchatka		2000						haploid
GCA_000246985.3	Thermococcus litoralis DSM 5473	523849		DSM 5473	2013-08-13	SAMN02603679		DSM 5473										haploid
GCA_000247545.1	Pyrobaculum oguniense TE7	698757		TE7	2012-02-10	SAMN02604076		TE7		Japan: Tsuetate Hot Spring, Kumamoto prefecture								haploid
GCA_000251105.1	Methanocella conradii HZ254	1041930		HZ254	2012-03-07	SAMN02603117		HZ254										haploid
GCA_000253055.1	Thermoproteus tenax Kra 1	768679		Kra 1	2011-10-06	SAMEA2272453		Kra 1										haploid
GCA_000258425.1	Fervidicoccus fontis Kam940	1163730		Kam940	2012-04-10	SAMN02603095		Kam940		Russia: Uzon caldera, Kamchatka								haploid
GCA_000258515.1	Thermococcus zilligii AN1	1151117		AN1	2012-04-11	SAMN02470188		AN1	freshwater hot-pool in Kuirau Park	New Zealand: Rotorua		1982						haploid
GCA_000259215.1	Halococcus hamelinensis 100A6	1132509		100A6	2012-04-18	SAMN02470884		100A6	stromatolites	Australia: Shark Bay, Hamelin Pool		2002-04-01						haploid
GCA_000263735.1	Pyrococcus sp. ST04	1183377		ST04	2012-05-22	SAMN02603491		ST04										haploid
GCA_000264495.1	Thermogladius calderae 1633	1184251		1633	2012-05-25	SAMN02603096		1633		Russia: Uzon caldera, Kamchatka								haploid
GCA_000265525.1	Thermococcus cleftensis	163003		CL1	2012-06-11	SAMN02603492		CL1	deep-sea hydrothermal sulfide chimney	Pacific Ocean: Cleft Segment of the Juan de Fuca Ridge		1994	Paralvinella sp.					haploid
GCA_000270325.1	Candidatus Caldarchaeum subterraneum	311458			2011-08-15	SAMD00016619												haploid
GCA_000275605.1	Pyrococcus furiosus COM1	1185654		COM1	2012-06-29	SAMN02603219		COM1										haploid
GCA_000275865.1	Methanofollis liminatans DSM 4140	28892		DSM 4140	2012-07-13	SAMN02256542		DSM 4140	Industrial wastewater treatment plant from Germany	Germany	Missing	Missing						haploid
GCA_000281695.1	Natrinema sp. J7-2	406552		J7-2	2012-07-25	SAMN02603638		J7-2										haploid
GCA_000283335.1	Halogranum salarium B-1	1210908		B-1	2012-08-03	SAMN02470186		B-1	evaporitic salt crystal	South Korea		2009-03						haploid
GCA_000296615.1	Halorubrum sp. T3	1194088		T3	2012-09-17	SAMN02470121		T3	solar saltern from Mohei salt mine	China: Yunnan		2009-09						haploid
GCA_000299365.1	Candidatus Nitrosopumilus koreensis AR1	1229908		AR1	2012-09-27	SAMN02603137		AR1										haploid
GCA_000299395.1	Candidatus Nitrosopumilus sediminis	1229909		AR2	2012-09-27	SAMN02603138		AR2										haploid
GCA_000302455.1	Methanobacterium formicicum DSM 3637	1204725		DSM 3637	2012-10-02	SAMN02471940		DSM 3637		Netherlands: Nijmegen		1998	Pelomyxa palustris					haploid
GCA_000303155.1	Candidatus Nitrososphaera gargensis Ga9.2	1237085	enrichment culture Ga9.2		2012-10-05	SAMN02603264	enrichment culture Ga9.2											haploid
GCA_000304355.2	Methanoculleus bourgensis MS2	1201294		MS2T	2014-02-04	SAMEA2272323		type strain:MS2										haploid
GCA_000306725.1	Methanolobus psychrophilus R15	1094980		R15	2012-10-18	SAMN00739943										true	contaminated	haploid
GCA_000306765.2	Haloferax mediterranei ATCC 33500	523841		CGMCC 1.2087	2014-05-27	SAMN02603397		CGMCC 1.2087										haploid
GCA_000309865.1	Methanobacterium sp. Maddingley MBC34	1220534			2012-11-02	SAMN01813472				Australia: Maddingley, Victoria	37.7023 S 144.4459 E	2009						haploid
GCA_000317795.1	Caldisphaera lagunensis DSM 15908	1056495		DSM 15908	2012-12-10	SAMN02261426		DSM 15908	An acidic hot spring; Philippines	Phillipines	Missing	Missing						haploid
GCA_000320505.2	Methanobrevibacter boviskoreani JH1	1214066		JH1	2012-10-03	SAMD00036626		JH1										haploid
GCA_000327485.1	Methanoregula formicica SMSP	593750		SMSP	2012-12-21	SAMN02232038		SMSP	methanogenic sludge in a mesophilic upflow anaerobic sludge blanket (UASB) reactor used to treat a beer brewery effluent	Japan	Missing	Missing						haploid
