GCA_000018365.1	deep-sea hydrothermal vent area at PACMANUS field
GCA_000022545.1	high-temperature Samotlor oil reservoir
GCA_000147875.1	off shore oil field from Gulf of Guinea
GCA_000148385.1	hot spring
GCA_000152265.2	isolated from slime streamers and attached to pyrite surfaces at a sulfide ore body
GCA_000166095.1	hot solfataric spring
GCA_000179575.2	deep-sea hydrothermal vent chimney at the Iheya Ridge in the Okinawa Trough
GCA_000186365.1	hot solfataric spring
GCA_000190315.1	solfataric thermal field close to Moutnovsky volcano, Kamchatka
GCA_000193375.1	solfataric thermal field close to Moutnovsky volcano
GCA_000194625.1	Black smoker wall, 3500 m depth
GCA_000204925.1	sulfuric hot spring
GCA_000211475.1	hydrothermal vent area; 1650 m depth
GCA_000215915.3	sediment-brine interface of the Shaban Deep in the Red Sea
GCA_000220175.2	enrichment culture from soil
GCA_000230735.3	Red heat in salted hides (spoiled fish)
GCA_000231015.3	freshwater hot spring
GCA_000243455.2	Black smoker chimney at the Kairei field in the Central Indian Ridge, Indian Ocean
GCA_000245095.2	Hot spring in Mutnovsky Volcano
GCA_000245115.2	Hot spring in Mutnovsky Volcano
GCA_000245135.2	Hot spring in Mutnovsky Volcano
GCA_000245155.2	Hot spring in Mutnovsky Volcano
GCA_000245175.2	Hot spring in Mutnovsky Volcano
GCA_000245195.2	Hot spring in Mutnovsky Volcano
GCA_000245215.2	Hot spring in Mutnovsky Volcano
GCA_000245235.2	Hot spring in Mutnovsky Volcano
GCA_000245255.2	Hot spring in Mutnovsky Volcano
GCA_000245275.2	Hot spring in Mutnovsky Volcano
GCA_000258515.1	freshwater hot-pool in Kuirau Park
GCA_000265525.1	deep-sea hydrothermal sulfide chimney
GCA_000296615.1	solar saltern from Mohei salt mine
GCA_000317795.1	An acidic hot spring; Philippines
GCA_000341715.1	sediment sample from the Tucurui hydropower station reservoir
GCA_000363885.1	hot marine sediment
GCA_000371805.1	Hot marine sediment
GCA_000372145.1	Acid Mine Drainage
GCA_000376005.1	soil
GCA_000382725.2	HOT station ALOHA, North Pacific Sub-Tropical Gyre
GCA_000382765.1	HOT station ALOHA, North Pacific Sub-Tropical Gyre
GCA_000387965.1	hot spring water and gravel
GCA_000389735.1	hot spring water and gravel
GCA_000447225.1	isolated from slime streamers and attached to pyrite surfaces at a sulfide ore body
GCA_000493245.1	salt mine
GCA_000495475.1	hypersaline waters of Lake Tyrrell
GCA_000495695.1	Cistern Spring (CIS_19); temperature 78C; pH 4.4
GCA_000495715.1	100 Spring Plain (OSP_8); temperature 72C; pH 3.3
GCA_000495735.1	Joseph's Coat Hot Spring (JCHS_4); temperature 80C; pH 6.1
GCA_000496135.1	isolated from slime streamers and attached to pyrite surfaces at a sulfide ore body
GCA_000496155.1	isolated from slime streamers and attached to pyrite surfaces at a sulfide ore body
GCA_000508305.1	mud sample collected next to a hot spring at the Los Azufres geothermal field
GCA_000565255.1	two 30-60 cm subsurface water samples (65C) from the hot springs at Los Azufres National Park
GCA_000632495.1	hot springs
GCA_000685395.1	soil
GCA_000722915.1	single cell amplified by MDA; Atlantis II Deep Red Sea brine-seawater interface
GCA_000724145.1	Atlantis II Deep Red Sea
GCA_000730175.1	Brazilian Caatinga soil
GCA_000734035.1	marine oilfield, North sea
GCA_000740075.1	hypersaline sample from solar saltern, pond crsytalizer CR30
GCA_000746685.1	single cell amplified by MDA; Atlantis II deep Red Sea brine-seawater interface
GCA_000746695.1	single cell amplified by MDA; Atlantis II deep Red Sea brine-seawater interface
GCA_000746705.1	single cell amplified by MDA; Atlantis II deep Red Sea brine-seawater interface
GCA_000746745.1	single cell amplified by MDA; Atlantis II deep Red Sea brine-seawater interface
GCA_000746765.1	single cell amplified by MDA; Atlantis II deep Red Sea brine-seawater interface
GCA_000746785.1	single cell amplified by MDA; Atlantis II deep Red Sea brine-seawater interface
GCA_000769655.1	oil-immersed sample
GCA_000784335.1	salt mine
GCA_000789255.1	water from hydrothermal chimney-like structure
GCA_000802205.2	contaminated soil
GCA_000960865.2	muddy water from acid hot spring
GCA_000960885.2	muddy water from acid hot spring
GCA_000961135.3	muddy water from acid hot spring
GCA_000986845.1	Loki's castle hydrothermal vent sediment
GCA_001017125.1	deep-sea sediment
GCA_001273335.1	Sulfate-rich zone estuary sediments 8-12 cm
GCA_001273345.1	Sulfate-rich zone estuary sediments 8-12 cm
